sinif,unite,konu,kazanim_kodu,kazanim_aciklamasi,ders
5. Sınıf,School Life,School Life,ENG.5.1.S3.,"Students can organise a new verbal content on ""school life with people, places and rules at school; school clubs; countries; national days and celebrations"" by speaking accurately, efficiently, and authentically.",İngilizce
5. Sınıf,School Life,School Life,ENG.5.1.S4.,"Students can construct a new verbal content on ""school life with people, places and rules at school; school clubs; countries; national days and celebrations"" by speaking accurately, efficiently, and authentically.",İngilizce
5. Sınıf,School Life,School Life,ENG.5.1.S5.,"Students can reorganise (reconstruct) and use information about the ""school life with people, places and rules at school; school clubs; countries; national days and celebrations"" to communicate with other people.",İngilizce
5. Sınıf,School Life,School Life,ENG.5.1.S6.,"Students can convey their knowledge, experiences, thoughts, and feelings related to the speaking-expression process about the current content, ""school life with people, places and rules at school; school clubs; countries; national days and celebrations"" to communicate with other people in relation to themselves or others, both individually and/or with others.",İngilizce
5. Sınıf,School Life,School Life,ENG.5.1.V1.,"Students can select and use the target vocabulary of the current content about ""school life with people, places and rules at school; school clubs; countries; national days and celebrations"" accurately, authentically, spontaneously, and naturally and use it appropriately and effectively when communicating with others.",İngilizce
5. Sınıf,School Life,School Life,ENG.5.1.W1.,"Students can get ready for the writing-expression process about the current content on ""school life with people, places and rules at school; school clubs; countries; national days and celebrations"".",İngilizce
5. Sınıf,School Life,School Life,ENG.5.1.W2.,"Students can understand the model/example for the writing task about the current content on ""school life with people, places and rules at school; school clubs; countries; national days and celebrations"".",İngilizce
5. Sınıf,School Life,School Life,ENG.5.1.W3.,"Students can organise a content for the assigned writing task on the current content ""school life with people, places and rules at school; school clubs; countries; national days and celebrations"" based on the model/example provided.",İngilizce
5. Sınıf,School Life,School Life,ENG.5.1.W4.,"Students can individually construct/form content for the assigned writing task on the current content ""school life with people, places and rules at school; school clubs; countries; national days and celebrations"".",İngilizce
5. Sınıf,School Life,School Life,ENG.5.1.W5.,"Students can reorganise (reconstruct) and use information in the new written tasks about the ""school life with people, places and rules at school; school clubs; countries; national days and celebrations"" to communicate with other people.",İngilizce
5. Sınıf,School Life,School Life,ENG.5.1.W6.,"Students can reflect on their knowledge, experiences, thoughts, and feelings related to the writing-expression process about the current content, ""school life with people, places and rules at school; school clubs; countries; national days and celebrations"" in relation to themselves or others, both individually and/or with others.",İngilizce
5. Sınıf,Classroom Life,Classroom Life,ENG.5.2.1.1.,"Students can get ready for the listening/watching-comprehension process for the current content on ""classroom life with classroom rules and language; school subjects; timetables; classroom objects; days of the week; time"" carefully.",İngilizce
5. Sınıf,Classroom Life,Classroom Life,ENG.5.2.1.2.,"Students can bring information about the current content on ""classroom life with classroom rules and language; school subjects; timetables; classroom objects; days of the week; time"" together through significant details and main components while listening/watching it.",İngilizce
5. Sınıf,Classroom Life,Classroom Life,ENG.5.2.1.3.,"Students can make meaning of/derive meaning from the current content on ""classroom life with classroom rules and language; school subjects; timetables; classroom objects; days of the week; time"" through significant details by listening/watching it carefully.",İngilizce
5. Sınıf,Classroom Life,Classroom Life,ENG.5.2.1.4.,"Students can convey their knowledge, experience, thoughts, and feelings examined carefully about the whole listening/watching-comprehension process in relation to the current content on ""classroom life with classroom rules and language; school subjects; timetables; classroom objects; days of the week; time"".",İngilizce
5. Sınıf,Classroom Life,Classroom Life,ENG.5.2.G1.,"Students can select and use the target grammatical elements of the current content about ""classroom life with classroom rules and language; school subjects; timetables; classroom objects; days of the week; time"" accurately, authentically, spontaneously, and naturally and use it appropriately and effectively when communicating with others.",İngilizce
5. Sınıf,Classroom Life,Classroom Life,ENG.5.2.P1.,"Students can select and use the target phonological elements of the current content about ""classroom life with classroom rules and language; school subjects; timetables; classroom objects; days of the week; time"" accurately, authentically, and naturally through spontaneous decision-making processes and use it in an appropriate and effective way when communicating with others.",İngilizce
5. Sınıf,Classroom Life,Classroom Life,ENG.5.2.R1.,"Students can get ready for the reading-comprehension process about the current content on ""classroom life with classroom rules and language; school subjects; timetables; classroom objects; days of the week; time"".",İngilizce
5. Sınıf,Classroom Life,Classroom Life,ENG.5.2.R2.,"Students can bring information about the current content on ""classroom life with classroom rules and language; school subjects; timetables; classroom objects; days of the week; time"" through skimming (looking quickly at) the audio-visual elements and reading the content very quickly.",İngilizce
5. Sınıf,Classroom Life,Classroom Life,ENG.5.2.R3.,"Students can make meaning of / derive meaning from the current content about ""classroom life with classroom rules and language; school subjects; timetables; classroom objects; days of the week; time"" by reading it carefully.",İngilizce
5. Sınıf,Classroom Life,Classroom Life,ENG.5.2.R4.,"Students can convey their knowledge, experiences, thoughts, and feelings related to the reading-comprehension process about the current content, ""classroom life with classroom rules and language; school subjects; timetables; classroom objects; days of the week; time"" in relation to themselves or others, both individually and/or with others.",İngilizce
5. Sınıf,Classroom Life,Classroom Life,ENG.5.2.S1.,"Students can get ready for speaking-expression process about the current content on ""classroom life with classroom rules and language; school subjects; timetables; classroom objects; days of the week; time"".",İngilizce
5. Sınıf,Classroom Life,Classroom Life,ENG.5.2.S2.,"Students can use the model/example for producing verbal content about the current content on ""classroom life with classroom rules and language; school subjects; timetables; classroom objects; days of the week; time"".",İngilizce
5. Sınıf,Classroom Life,Classroom Life,ENG.5.2.S3.,"Students can organise a new verbal content on ""classroom life with classroom rules and language; school subjects; timetables; classroom objects; days of the week; time"" by speaking accurately, efficiently, and authentically.",İngilizce
5. Sınıf,Classroom Life,Classroom Life,ENG.5.2.S4.,"Students can construct a new verbal content on ""classroom life with classroom rules and language; school subjects; timetables; classroom objects; days of the week; time"" by speaking accurately, efficiently, and authentically.",İngilizce
5. Sınıf,Classroom Life,Classroom Life,ENG.5.2.S5.,"Students can reorganise (reconstruct) and use information about the ""classroom life with classroom rules and language; school subjects; timetables; classroom objects; days of the week; time"" to communicate with other people.",İngilizce
5. Sınıf,Classroom Life,Classroom Life,ENG.5.2.S6.,"Students can convey their knowledge, experiences, thoughts, and feelings related to the speaking-expression process about the current content, ""classroom life with classroom rules and language; school subjects; timetables; classroom objects; days of the week; time"" to communicate with other people in relation to themselves or others, both individually and/or with others.",İngilizce
5. Sınıf,Classroom Life,Classroom Life,ENG.5.2.V1.,"Students can select and use the target vocabulary of the current content about ""classroom life with classroom rules and language; school subjects; timetables; classroom objects; days of the week; time"" accurately, authentically, spontaneously, and naturally and use it appropriately and effectively when communicating with others.",İngilizce
5. Sınıf,Classroom Life,Classroom Life,ENG.5.2.W1.,"Students can get ready for the writing-expression process about the current content on ""classroom life with classroom rules and language; school subjects; timetables; classroom objects; days of the week; time"".",İngilizce
5. Sınıf,Classroom Life,Classroom Life,ENG.5.2.W2.,"Students can understand the model/example for the writing task about the current content on ""classroom life with classroom rules and language; school subjects; timetables; classroom objects; days of the week; time"".",İngilizce
5. Sınıf,Classroom Life,Classroom Life,ENG.5.2.W3.,"Students can organise a content for the assigned writing task on the current content ""classroom life with classroom rules and language; school subjects; timetables; classroom objects; days of the week; time"" based on the model/example provided.",İngilizce
5. Sınıf,Classroom Life,Classroom Life,ENG.5.2.W4.,"Students can individually construct/form content for the assigned writing task on the current content ""classroom life with classroom rules and language; school subjects; timetables; classroom objects; days of the week; time"".",İngilizce
5. Sınıf,Classroom Life,Classroom Life,ENG.5.2.W5.,"Students can reorganise (reconstruct) and use information in the new written tasks about the ""classroom life with classroom rules and language; school subjects; timetables; classroom objects; days of the week; time"" to communicate with other people.",İngilizce
5. Sınıf,Classroom Life,Classroom Life,ENG.5.2.W6.,"Students can reflect on their knowledge, experiences, thoughts, and feelings related to the writing-expression process about the current content, ""classroom life with classroom rules and language; school subjects; timetables; classroom objects; days of the week; time"" in relation to themselves or others, both individually and/or with others.",İngilizce
5. Sınıf,Personal Life,Personal Life,ENG.5.3.1.1.,"Students can get ready for the listening/watching-comprehension process for the current content on ""personal life with basic body parts and physical features; clothes; daily routines and activities"" carefully.",İngilizce
5. Sınıf,Personal Life,Personal Life,ENG.5.3.1.2.,"Students can bring information about the current content on ""personal life with basic body parts and physical features; clothes; daily routines and activities"" together through significant details and main components while listening/watching it.",İngilizce
5. Sınıf,Personal Life,Personal Life,ENG.5.3.1.3.,"Students can make meaning of/derive meaning from the current content on ""personal life with basic body parts and physical features; clothes; daily routines and activities"" through significant details by listening/watching it carefully.",İngilizce
5. Sınıf,Personal Life,Personal Life,ENG.5.3.1.4.,"Students can convey their knowledge, experience, thoughts, and feelings examined carefully about the whole listening/watching-comprehension process in relation to the current content on ""personal life with basic body parts and physical features; clothes; daily routines and activities"".",İngilizce
5. Sınıf,Personal Life,Personal Life,ENG.5.3.G1.,"Students can select and use the target grammatical elements of the current content about ""personal life with basic body parts and physical features; clothes; daily routines and activities"" accurately, authentically, spontaneously, and naturally and use it appropriately and effectively when communicating with others.",İngilizce
5. Sınıf,Personal Life,Personal Life,ENG.5.3.P1.,"Students can select and use the target phonological elements of the current content about ""personal life with basic body parts and physical features; clothes; daily routines and activities"" accurately, authentically, and naturally through spontaneous decision-making processes and use it in an appropriate and effective way when communicating with others.",İngilizce
5. Sınıf,Personal Life,Personal Life,ENG.5.3.R1.,"Students can get ready for the reading-comprehension process about the current content on ""personal life with basic body parts and physical features; clothes; daily routines and activities"".",İngilizce
5. Sınıf,Personal Life,Personal Life,ENG.5.3.R2.,"Students can bring information about the current content on ""personal life with basic body parts and physical features; clothes; daily routines and activities"" through skimming (looking quickly at) the audio-visual elements and reading the content very quickly.",İngilizce
5. Sınıf,Personal Life,Personal Life,ENG.5.3.R3.,"Students can make meaning of / derive meaning from the current content about ""personal life with basic body parts and physical features; clothes; daily routines and activities"" by reading it carefully.",İngilizce
5. Sınıf,Personal Life,Personal Life,ENG.5.3.R4.,"Students can convey their knowledge, experiences, thoughts, and feelings related to the reading-comprehension process about the current content, ""personal life with basic body parts and physical features; clothes; daily routines and activities"" in relation to themselves or others, both individually and/or with others.",İngilizce
5. Sınıf,Personal Life,Personal Life,ENG.5.3.S1.,"Students can get ready for speaking-expression process about the current content on ""personal life with basic body parts and physical features; clothes; daily routines and activities"".",İngilizce
5. Sınıf,Personal Life,Personal Life,ENG.5.3.S2.,"Students can use the model/example for producing verbal content about the current content on ""personal life with basic body parts and physical features; clothes; daily routines and activities"".",İngilizce
5. Sınıf,Personal Life,Personal Life,ENG.5.3.S3.,"Students can organise a new verbal content on ""personal life with basic body parts and physical features; clothes; daily routines and activities"" by speaking accurately, efficiently, and authentically.",İngilizce
5. Sınıf,Personal Life,Personal Life,ENG.5.3.S4.,"Students can construct a new verbal content on ""personal life with basic body parts and physical features; clothes; daily routines and activities"" by speaking accurately, efficiently, and authentically.",İngilizce
5. Sınıf,Personal Life,Personal Life,ENG.5.3.S5.,"Students can reorganise (reconstruct) and use information about the ""personal life with basic body parts and physical features; clothes; daily routines and activities"" to communicate with other people.",İngilizce
5. Sınıf,Personal Life,Personal Life,ENG.5.3.S6.,"Students can convey their knowledge, experiences, thoughts, and feelings related to the speaking-expression process about the current content, ""personal life with basic body parts and physical features; clothes; daily routines and activities"" to communicate with other people in relation to themselves or others, both individually and/or with others.",İngilizce
5. Sınıf,Personal Life,Personal Life,ENG.5.3.V1.,"Students can select and use the target vocabulary of the current content about ""personal life with basic body parts and physical features; clothes; daily routines and activities"" accurately, authentically, spontaneously, and naturally and use it appropriately and effectively when communicating with others.",İngilizce
5. Sınıf,Personal Life,Personal Life,ENG.5.3.W1.,"Students can get ready for the writing-expression process about the current content on ""personal life with basic body parts and physical features; clothes; daily routines and activities"".",İngilizce
5. Sınıf,Personal Life,Personal Life,ENG.5.3.W2.,"Students can understand the model/example for the writing task about the current content on ""personal life with basic body parts and physical features; clothes; daily routines and activities"".",İngilizce
5. Sınıf,Personal Life,Personal Life,ENG.5.3.W3.,"Students can organise a content for the assigned writing task on the current content ""personal life with basic body parts and physical features; clothes; daily routines and activities"" based on the model/example provided.",İngilizce
5. Sınıf,Personal Life,Personal Life,ENG.5.3.W4.,"Students can individually construct/form content for the assigned writing task on the current content ""personal life with basic body parts and physical features; clothes; daily routines and activities"".",İngilizce
5. Sınıf,Personal Life,Personal Life,ENG.5.3.W5.,"Students can reorganise (reconstruct) and use information in the new written tasks about the ""personal life with basic body parts and physical features; clothes; daily routines and activities"" to communicate with other people.",İngilizce
5. Sınıf,Personal Life,Personal Life,ENG.5.3.W6.,"Students can reflect on their knowledge, experiences, thoughts, and feelings related to the writing-expression process about the current content, ""personal life with basic body parts and physical features; clothes; daily routines and activities"" in relation to themselves or others, both individually and/or with others.",İngilizce
5. Sınıf,Family Life,Family Life,ENG.5.4.1.1.,"Students can get ready for the listening/watching-comprehension process for the current content on ""family life with family members' routines; family members' hobbies and activities"" carefully.",İngilizce
5. Sınıf,Family Life,Family Life,ENG.5.4.1.2.,"Students can bring information about the current content on ""family life with family members' routines; family members' hobbies and activities"" together through significant details and main components while listening/watching it.",İngilizce
5. Sınıf,Family Life,Family Life,ENG.5.4.1.3.,"Students can make meaning of/derive meaning from the current content on ""family life with family members' routines; family members' hobbies and activities"" through significant details by listening/watching it carefully.",İngilizce
5. Sınıf,Family Life,Family Life,ENG.5.4.1.4.,"Students can convey their knowledge, experience, thoughts, and feelings examined carefully about the whole listening/watching-comprehension process in relation to the current content on ""family life with family members' routines; family members' hobbies and activities"".",İngilizce
5. Sınıf,Family Life,Family Life,ENG.5.4.G1.,"Students can select and use the target grammatical elements of the current content about ""family life with family members' routines; family members' hobbies and activities"" accurately, authentically, spontaneously, and naturally and use it appropriately and effectively when communicating with others.",İngilizce
5. Sınıf,Family Life,Family Life,ENG.5.4.P1.,"Students can select and use the target phonological elements of the current content about ""family life with family members' routines; family members' hobbies and activities"" accurately, authentically, and naturally through spontaneous decision-making processes and use it in an appropriate and effective way when communicating with others.",İngilizce
5. Sınıf,Family Life,Family Life,ENG.5.4.R1.,"Students can get ready for the reading-comprehension process about the current content on ""family life with family members' routines; family members' hobbies and activities"".",İngilizce
5. Sınıf,Family Life,Family Life,ENG.5.4.R2.,"Students can bring information about the current content on ""family life with family members' routines; family members' hobbies and activities"" through skimming (looking quickly at) the audio-visual elements and reading the content very quickly.",İngilizce
5. Sınıf,Family Life,Family Life,ENG.5.4.R3.,"Students can make meaning of / derive meaning from the current content about ""family life with family members' routines; family members' hobbies and activities"" by reading it carefully.",İngilizce
5. Sınıf,Family Life,Family Life,ENG.5.4.R4.,"Students can convey their knowledge, experiences, thoughts, and feelings related to the reading-comprehension process about the current content, ""family life with family members' routines; family members' hobbies and activities"" in relation to themselves or others, both individually and/or with others.",İngilizce
5. Sınıf,Family Life,Family Life,ENG.5.4.S1.,"Students can get ready for speaking-expression process about the current content on ""family life with family members' routines; family members' hobbies and activities"".",İngilizce
5. Sınıf,Family Life,Family Life,ENG.5.4.S2.,"Students can use the model/example for producing verbal content about the current content on ""family life with family members' routines; family members' hobbies and activities"".",İngilizce
5. Sınıf,Family Life,Family Life,ENG.5.4.S3.,"Students can organise a new verbal content on ""family life with family members' routines; family members' hobbies and activities"" by speaking accurately, efficiently, and authentically.",İngilizce
5. Sınıf,Family Life,Family Life,ENG.5.4.S4.,"Students can construct a new verbal content on ""family life with family members' routines; family members' hobbies and activities"" by speaking accurately, efficiently, and authentically.",İngilizce
5. Sınıf,Family Life,Family Life,ENG.5.4.S5.,"Students can reorganise (reconstruct) and use information about the ""family life with family members' routines; family members' hobbies and activities"" to communicate with other people.",İngilizce
5. Sınıf,Family Life,Family Life,ENG.5.4.S6.,"Students can convey their knowledge, experiences, thoughts, and feelings related to the speaking-expression process about the current content, ""family life with family members' routines; family members' hobbies and activities"" to communicate with other people in relation to themselves or others, both individually and/or with others.",İngilizce
5. Sınıf,Family Life,Family Life,ENG.5.4.V1.,"Students can select and use the target vocabulary of the current content about ""family life with family members' routines; family members' hobbies and activities"" accurately, authentically, spontaneously, and naturally and use it appropriately and effectively when communicating with others.",İngilizce
5. Sınıf,Family Life,Family Life,ENG.5.4.W1.,"Students can get ready for the writing-expression process about the current content on ""family life with family members' routines; family members' hobbies and activities"".",İngilizce
5. Sınıf,Family Life,Family Life,ENG.5.4.W2.,"Students can understand the model/example for the writing task about the current content on ""family life with family members' routines; family members' hobbies and activities"".",İngilizce
5. Sınıf,Family Life,Family Life,ENG.5.4.W3.,"Students can organise a content for the assigned writing task on the current content ""family life with family members' routines; family members' hobbies and activities"" based on the model/example provided.",İngilizce
5. Sınıf,Family Life,Family Life,ENG.5.4.W4.,"Students can individually construct/form content for the assigned writing task on the current content ""family life with family members' routines; family members' hobbies and activities"".",İngilizce
5. Sınıf,Family Life,Family Life,ENG.5.4.W5.,"Students can reorganise (reconstruct) and use information in the new written tasks about the ""family life with family members' routines; family members' hobbies and activities"" to communicate with other people.",İngilizce
5. Sınıf,Family Life,Family Life,ENG.5.4.W6.,"Students can reflect on their knowledge, experiences, thoughts, and feelings related to the writing-expression process about the current content, ""family life with family members' routines; family members' hobbies and activities"" in relation to themselves or others, both individually and/or with others.",İngilizce
5. Sınıf,Life in the Neighbourhood & City,Life in the Neighbourhood & City,ENG.5.5.1.1.,"Students can get ready for the listening/watching-comprehension process for the current content on ""life in the neighbourhood and city with places for recreation and attractions in the neighbourhood and city; different types of houses"" carefully.",İngilizce
5. Sınıf,Life in the Neighbourhood & City,Life in the Neighbourhood & City,ENG.5.5.1.2.,"Students can bring information about the current content on ""life in the neighbourhood and city with places for recreation and attractions in the neighbourhood and city; different types of houses"" together through significant details and main components while listening/watching it.",İngilizce
5. Sınıf,Life in the Neighbourhood & City,Life in the Neighbourhood & City,ENG.5.5.1.3.,"Students can make meaning of/derive meaning from the current content on ""life in the neighbourhood and city with places for recreation and attractions in the neighbourhood and city; different types of houses"" through significant details by listening/watching it carefully.",İngilizce
5. Sınıf,Life in the Neighbourhood & City,Life in the Neighbourhood & City,ENG.5.5.1.4.,"Students can convey their knowledge, experience, thoughts, and feelings examined carefully about the whole listening/watching-comprehension process in relation to the current content on ""life in the neighbourhood and city with places for recreation and attractions in the neighbourhood and city; different types of houses"".",İngilizce
5. Sınıf,Life in the Neighbourhood & City,Life in the Neighbourhood & City,ENG.5.5.G1.,"Students can select and use the target grammatical elements of the current content about ""life in the neighbourhood and city with places for recreation and attractions in the neighbourhood and city; different types of houses"" accurately, authentically, spontaneously, and naturally and use it appropriately and effectively when communicating with others.",İngilizce
5. Sınıf,Life in the Neighbourhood & City,Life in the Neighbourhood & City,ENG.5.5.P1.,"Students can select and use the target phonological elements of the current content about ""life in the neighbourhood and city with places for recreation and attractions in the neighbourhood and city; different types of houses"" accurately, authentically, and naturally through spontaneous decision-making processes and use it in an appropriate and effective way when communicating with others.",İngilizce
5. Sınıf,Life in the Neighbourhood & City,Life in the Neighbourhood & City,ENG.5.5.R1.,"Students can get ready for the reading-comprehension process about the current content on ""life in the neighbourhood and city with places for recreation and attractions in the neighbourhood and city; different types of houses"".",İngilizce
5. Sınıf,Life in the Neighbourhood & City,Life in the Neighbourhood & City,ENG.5.5.R2.,"Students can bring information about the current content on ""life in the neighbourhood and city with places for recreation and attractions in the neighbourhood and city; different types of houses"" through skimming (looking quickly at) the audio-visual elements and reading the content very quickly.",İngilizce
5. Sınıf,Life in the Neighbourhood & City,Life in the Neighbourhood & City,ENG.5.5.R3.,"Students can make meaning of / derive meaning from the current content about ""life in the neighbourhood and city with places for recreation and attractions in the neighbourhood and city; different types of houses"" by reading it carefully.",İngilizce
5. Sınıf,Life in the Neighbourhood & City,Life in the Neighbourhood & City,ENG.5.5.R4.,"Students can convey their knowledge, experiences, thoughts, and feelings related to the reading-comprehension process about the current content, ""life in the neighbourhood and city with places for recreation and attractions in the neighbourhood and city; different types of houses"" in relation to themselves or others, both individually and/or with others.",İngilizce
5. Sınıf,Life in the Neighbourhood & City,Life in the Neighbourhood & City,ENG.5.5.S1.,"Students can get ready for speaking-expression process about the current content on ""life in the neighbourhood and city with places for recreation and attractions in the neighbourhood and city; different types of houses"".",İngilizce
5. Sınıf,Life in the Neighbourhood & City,Life in the Neighbourhood & City,ENG.5.5.S2.,"Students can use the model/example for producing verbal content about the current content on ""life in the neighbourhood and city with places for recreation and attractions in the neighbourhood and city; different types of houses"".",İngilizce
5. Sınıf,Life in the Neighbourhood & City,Life in the Neighbourhood & City,ENG.5.5.S3.,"Students can organise a new verbal content on ""life in the neighbourhood and city with places for recreation and attractions in the neighbourhood and city; different types of houses"" by speaking accurately, efficiently, and authentically.",İngilizce
5. Sınıf,Life in the Neighbourhood & City,Life in the Neighbourhood & City,ENG.5.5.S4.,"Students can construct a new verbal content on ""life in the neighbourhood and city with places for recreation and attractions in the neighbourhood and city; different types of houses"" by speaking accurately, efficiently, and authentically.",İngilizce
5. Sınıf,Life in the Neighbourhood & City,Life in the Neighbourhood & City,ENG.5.5.S5.,"Students can reorganise (reconstruct) and use information about the ""life in the neighbourhood and city with places for recreation and attractions in the neighbourhood and city; different types of houses"" to communicate with other people.",İngilizce
5. Sınıf,Life in the Neighbourhood & City,Life in the Neighbourhood & City,ENG.5.5.S6.,"Students can convey their knowledge, experiences, thoughts, and feelings related to the speaking-expression process about the current content, ""life in the neighbourhood and city with places for recreation and attractions in the neighbourhood and city; different types of houses"" to communicate with other people in relation to themselves or others, both individually and/or with others.",İngilizce
5. Sınıf,Life in the Neighbourhood & City,Life in the Neighbourhood & City,ENG.5.5.V1.,"Students can select and use the target vocabulary of the current content about ""life in the neighbourhood and city with places for recreation and attractions in the neighbourhood and city; different types of houses"" accurately, authentically, spontaneously, and naturally and use it appropriately and effectively when communicating with others.",İngilizce
5. Sınıf,Life in the Neighbourhood & City,Life in the Neighbourhood & City,ENG.5.5.W1.,"Students can get ready for the writing-expression process about the current content on ""life in the neighbourhood and city with places for recreation and attractions in the neighbourhood and city; different types of houses"".",İngilizce
5. Sınıf,Life in the Neighbourhood & City,Life in the Neighbourhood & City,ENG.5.5.W2.,"Students can understand the model/example for the writing task about the current content on ""life in the neighbourhood and city with places for recreation and attractions in the neighbourhood and city; different types of houses"".",İngilizce
5. Sınıf,Life in the Neighbourhood & City,Life in the Neighbourhood & City,ENG.5.5.W3.,"Students can organise a content for the assigned writing task on the current content ""life in the neighbourhood and city with places for recreation and attractions in the neighbourhood and city; different types of houses"" based on the model/example provided.",İngilizce
5. Sınıf,Life in the Neighbourhood & City,Life in the Neighbourhood & City,ENG.5.5.W4.,"Students can individually construct/form content for the assigned writing task on the current content ""life in the neighbourhood and city with places for recreation and attractions in the neighbourhood and city; different types of houses"".",İngilizce
5. Sınıf,Life in the Neighbourhood & City,Life in the Neighbourhood & City,ENG.5.5.W5.,"Students can reorganise (reconstruct) and use information in the new written tasks about the ""life in the neighbourhood and city with places for recreation and attractions in the neighbourhood and city; different types of houses"" to communicate with other people.",İngilizce
5. Sınıf,Life in the Neighbourhood & City,Life in the Neighbourhood & City,ENG.5.5.W6.,"Students can reflect on their knowledge, experiences, thoughts, and feelings related to the writing-expression process about the current content, ""life in the neighbourhood and city with places for recreation and attractions in the neighbourhood and city; different types of houses"" in relation to themselves or others, both individually and/or with others.",İngilizce
5. Sınıf,Life in the World,Life in the World,ENG.5.6.1.1.,"Students can get ready for the listening/watching-comprehension process for the current content on ""life in the world with basic food types; ordering in a restaurant; food events in the city"" carefully.",İngilizce
5. Sınıf,Life in the World,Life in the World,ENG.5.6.1.2.,"Students can bring information about the current content on ""life in the world with basic food types; ordering in a restaurant; food events in the city"" together through significant details and main components while listening/watching it.",İngilizce
5. Sınıf,Life in the World,Life in the World,ENG.5.6.1.3.,"Students can make meaning of/derive meaning from the current content on ""life in the world with basic food types; ordering in a restaurant; food events in the city"" through significant details by listening/watching it carefully.",İngilizce
5. Sınıf,Life in the World,Life in the World,ENG.5.6.1.4.,"Students can convey their knowledge, experience, thoughts, and feelings examined carefully about the whole listening/watching-comprehension process in relation to the current content on ""life in the world with basic food types; ordering in a restaurant; food events in the city"".",İngilizce
5. Sınıf,Life in the World,Life in the World,ENG.5.6.G1.,"Students can select and use the target grammatical elements of the current content about ""life in the world with basic food types; ordering in a restaurant; food events in the city"" accurately, authentically, spontaneously, and naturally and use it appropriately and effectively when communicating with others.",İngilizce
5. Sınıf,Life in the World,Life in the World,ENG.5.6.P1.,"Students can select and use the target phonological elements of the current content about ""life in the world with basic food types; ordering in a restaurant; food events in the city"" accurately, authentically, and naturally through spontaneous decision-making processes and use it in an appropriate and effective way when communicating with others.",İngilizce
5. Sınıf,Life in the World,Life in the World,ENG.5.6.R1.,"Students can get ready for the reading-comprehension process about the current content on ""life in the world with basic food types; ordering in a restaurant; food events in the city"".",İngilizce
5. Sınıf,Life in the World,Life in the World,ENG.5.6.R2.,"Students can bring information about the current content on ""life in the world with basic food types; ordering in a restaurant; food events in the city"" through skimming (looking quickly at) the audio-visual elements and reading the content very quickly.",İngilizce
5. Sınıf,Life in the World,Life in the World,ENG.5.6.R3.,"Students can make meaning of / derive meaning from the current content about ""life in the world with basic food types; ordering in a restaurant; food events in the city"" by reading it carefully.",İngilizce
5. Sınıf,Life in the World,Life in the World,ENG.5.6.R4.,"Students can convey their knowledge, experiences, thoughts, and feelings related to the reading-comprehension process about the current content, ""life in the world with basic food types; ordering in a restaurant; food events in the city"" in relation to themselves or others, both individually and/or with others.",İngilizce
